event_index,participant_id,experiment_version,condition,seed,trial_number,phase,phase_number,block,equivalence_group,face_pair_type,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_valid,verbal_cue_valid,facial_cue_direction,verbal_cue_direction,cue_conflict,facial_block,verbal_block,facial_block_state,verbal_block_state,face_left,face_right,face_left_expr,face_right_expr,card_left_points,card_right_points,point_difference,correct_side,winning_card,reward_points,verbal_text,key_left,key_right,correct_key,response_key,correct,rt_raw,is_timeout,chose_left,followed_facial,followed_verbal,chose_high_reward,response_for_model,trial_order,eg_numeric,phase_numeric,facial_direction_left,verbal_direction_left
40,P029,11.0,facial_first,2.0,1,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,0.0,right,left,1.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,4.0,10.0,6.0,right,DIAMOND-10.png,6.0,I think I'm going to win this round.,Z,M,M,Z,0.0,932.4999999999854,False,1.0,0.0,1.0,0.0,1.0,1,3,1,0,1
45,P029,11.0,facial_first,2.0,2,calibration,,,A,happy_vs_sad,0.7,0.8,0.0,1.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,6.0,10.0,4.0,right,HEART-10.png,4.0,I think I'm going to win this round.,Z,M,M,M,1.0,133.0,False,0.0,0.0,1.0,1.0,0.0,2,1,1,1,0
50,P029,11.0,facial_first,2.0,3,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,5.0,7.0,2.0,right,HEART-7.png,2.0,I think I'm going to win this round.,Z,M,M,M,1.0,97.89999999999418,False,0.0,1.0,1.0,1.0,0.0,3,2,1,0,0
55,P029,11.0,facial_first,2.0,4,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,2.0,4.0,2.0,right,HEART-4.png,2.0,I think I'm going to win this round.,Z,M,M,M,1.0,65.60000000595755,False,0.0,1.0,1.0,1.0,0.0,4,1,1,0,0
60,P029,11.0,facial_first,2.0,5,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,8.0,1.0,7.0,left,CLUB-8.png,7.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,55.90000001192675,False,1.0,1.0,1.0,1.0,1.0,5,3,1,1,1
65,P029,11.0,facial_first,2.0,6,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,4.0,7.0,3.0,right,CLUB-7.png,3.0,I think I'm going to win this round.,Z,M,M,M,1.0,265.999999988082,False,0.0,1.0,1.0,1.0,0.0,6,2,1,0,0
70,P029,11.0,facial_first,2.0,7,calibration,,,A,happy_vs_sad,0.7,0.8,0.0,0.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,5.0,6.0,1.0,right,SPADE-6.png,1.0,I think I'm going to win this round.,Z,M,M,Z,0.0,182.4000000059605,False,1.0,1.0,1.0,0.0,1.0,7,1,1,1,1
75,P029,11.0,facial_first,2.0,8,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,2.0,8.0,6.0,right,DIAMOND-8.png,6.0,I think I'm going to win this round.,Z,M,M,M,1.0,21.60000000595755,False,0.0,1.0,1.0,1.0,0.0,8,2,1,0,0
80,P029,11.0,facial_first,2.0,9,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,4.0,5.0,1.0,right,DIAMOND-5.png,1.0,I think I'm going to win this round.,Z,M,M,M,1.0,275.69999998807907,False,0.0,1.0,1.0,1.0,0.0,9,3,1,0,0
85,P029,11.0,facial_first,2.0,10,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,8.0,4.0,4.0,left,CLUB-8.png,4.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,402.6000000000058,False,1.0,1.0,1.0,1.0,1.0,10,3,1,1,1
