event_index,participant_id,experiment_version,condition,seed,trial_number,phase,phase_number,block,equivalence_group,face_pair_type,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_valid,verbal_cue_valid,facial_cue_direction,verbal_cue_direction,cue_conflict,facial_block,verbal_block,facial_block_state,verbal_block_state,face_left,face_right,face_left_expr,face_right_expr,card_left_points,card_right_points,point_difference,correct_side,winning_card,reward_points,verbal_text,key_left,key_right,correct_key,response_key,correct,rt_raw,is_timeout,chose_left,followed_facial,followed_verbal,chose_high_reward,response_for_model,trial_order,eg_numeric,phase_numeric,facial_direction_left,verbal_direction_left
40,P037,11.0,facial_first,2.0,1,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,0.0,right,left,1.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,4.0,10.0,6.0,right,DIAMOND-10.png,6.0,I think I'm going to win this round.,Z,M,M,Z,0.0,1133.0000000014916,False,1.0,0.0,1.0,0.0,1.0,1,3,1,0,1
45,P037,11.0,facial_first,2.0,2,calibration,,,A,happy_vs_sad,0.7,0.8,0.0,1.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,6.0,10.0,4.0,right,HEART-10.png,4.0,I think I'm going to win this round.,Z,M,M,M,1.0,727.9999999985157,False,0.0,0.0,1.0,1.0,0.0,2,1,1,1,0
50,P037,11.0,facial_first,2.0,3,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,5.0,7.0,2.0,right,HEART-7.png,2.0,I think I'm going to win this round.,Z,M,M,Z,0.0,1385.6999999955297,False,1.0,0.0,0.0,0.0,1.0,3,2,1,0,0
55,P037,11.0,facial_first,2.0,4,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,2.0,4.0,2.0,right,HEART-4.png,2.0,I think I'm going to win this round.,Z,M,M,M,1.0,1266.6000000000058,False,0.0,1.0,1.0,1.0,0.0,4,1,1,0,0
60,P037,11.0,facial_first,2.0,5,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,8.0,1.0,7.0,left,CLUB-8.png,7.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,1301.700000001496,False,1.0,1.0,1.0,1.0,1.0,5,3,1,1,1
65,P037,11.0,facial_first,2.0,6,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,4.0,7.0,3.0,right,CLUB-7.png,3.0,I think I'm going to win this round.,Z,M,M,M,1.0,833.7999999970198,False,0.0,1.0,1.0,1.0,0.0,6,2,1,0,0
70,P037,11.0,facial_first,2.0,7,calibration,,,A,happy_vs_sad,0.7,0.8,0.0,0.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,5.0,6.0,1.0,right,SPADE-6.png,1.0,I think I'm going to win this round.,Z,M,M,Z,0.0,806.7000000014959,False,1.0,1.0,1.0,0.0,1.0,7,1,1,1,1
75,P037,11.0,facial_first,2.0,8,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,2.0,8.0,6.0,right,DIAMOND-8.png,6.0,I think I'm going to win this round.,Z,M,M,M,1.0,60.79999999553547,False,0.0,1.0,1.0,1.0,0.0,8,2,1,0,0
80,P037,11.0,facial_first,2.0,9,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,4.0,5.0,1.0,right,DIAMOND-5.png,1.0,I think I'm going to win this round.,Z,M,M,M,1.0,428.69999999552965,False,0.0,1.0,1.0,1.0,0.0,9,3,1,0,0
85,P037,11.0,facial_first,2.0,10,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,8.0,4.0,4.0,left,CLUB-8.png,4.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,267.8999999970256,False,1.0,1.0,1.0,1.0,1.0,10,3,1,1,1
90,P037,11.0,facial_first,2.0,11,calibration,,,B,happy_vs_neutral,0.8,0.8,0.0,1.0,right,left,1.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,4.0,1.0,3.0,left,HEART-4.png,3.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,333.3999999999942,False,1.0,0.0,1.0,1.0,1.0,11,2,1,0,1
95,P037,11.0,facial_first,2.0,12,calibration,,,A,happy_vs_sad,0.7,0.8,0.0,1.0,right,left,1.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,8.0,3.0,5.0,left,CLUB-8.png,5.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,275.2999999955355,False,1.0,0.0,1.0,1.0,1.0,12,1,1,0,1
100,P037,11.0,facial_first,2.0,13,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,9.0,10.0,1.0,right,HEART-10.png,1.0,I think I'm going to win this round.,Z,M,M,M,1.0,27.80000000148721,False,0.0,1.0,1.0,1.0,0.0,13,3,1,0,0
105,P037,11.0,facial_first,2.0,14,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,0.0,right,left,1.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,1.0,8.0,7.0,right,CLUB-8.png,7.0,I think I'm going to win this round.,Z,M,M,Z,0.0,250.09999999997672,False,1.0,0.0,1.0,0.0,1.0,14,1,1,0,1
110,P037,11.0,facial_first,2.0,15,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,0.0,right,left,1.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,6.0,7.0,1.0,right,SPADE-7.png,1.0,I think I'm going to win this round.,Z,M,M,M,1.0,878.6000000000058,False,0.0,1.0,0.0,1.0,0.0,15,2,1,0,1
115,P037,11.0,facial_first,2.0,16,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,7.0,6.0,1.0,left,CLUB-7.png,1.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,374.29999999850406,False,1.0,1.0,1.0,1.0,1.0,16,1,1,1,1
120,P037,11.0,facial_first,2.0,17,calibration,,,B,happy_vs_neutral,0.8,0.8,0.0,1.0,right,left,1.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,8.0,5.0,3.0,left,CLUB-8.png,3.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,682.199999997014,False,1.0,0.0,1.0,1.0,1.0,17,2,1,0,1
