event_index,participant_id,experiment_version,condition,seed,trial_number,phase,phase_number,block,equivalence_group,face_pair_type,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_valid,verbal_cue_valid,facial_cue_direction,verbal_cue_direction,cue_conflict,facial_block,verbal_block,facial_block_state,verbal_block_state,face_left,face_right,face_left_expr,face_right_expr,card_left_points,card_right_points,point_difference,correct_side,winning_card,reward_points,verbal_text,key_left,key_right,correct_key,response_key,correct,rt_raw,is_timeout,chose_left,followed_facial,followed_verbal,chose_high_reward,response_for_model,trial_order,eg_numeric,phase_numeric,facial_direction_left,verbal_direction_left
40,P023,11.0,facial_first,4.0,1,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,4.0,3.0,1.0,left,HEART-4.png,1.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,665.8999999999942,False,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
45,P023,11.0,facial_first,4.0,2,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,9.0,5.0,4.0,left,HEART-9.png,4.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,620.7000000000116,False,1.0,1.0,1.0,1.0,1.0,2,3,1,1,1
50,P023,11.0,facial_first,4.0,3,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,1.0,8.0,7.0,right,HEART-8.png,7.0,I think I'm going to win this round.,Z,M,M,M,1.0,179.09999999962747,False,0.0,1.0,1.0,1.0,0.0,3,2,1,0,0
55,P023,11.0,facial_first,4.0,4,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,8.0,2.0,6.0,left,DIAMOND-8.png,6.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,618.8999999994412,False,1.0,1.0,1.0,1.0,1.0,4,2,1,1,1
60,P023,11.0,facial_first,4.0,5,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,0.0,right,left,1.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,2.0,6.0,4.0,right,DIAMOND-6.png,4.0,I think I'm going to win this round.,Z,M,M,Z,0.0,679.3999999999942,False,1.0,0.0,1.0,0.0,1.0,5,1,1,0,1
65,P023,11.0,facial_first,4.0,6,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,4.0,5.0,1.0,right,DIAMOND-5.png,1.0,I think I'm going to win this round.,Z,M,M,M,1.0,563.8999999998196,False,0.0,1.0,1.0,1.0,0.0,6,3,1,0,0
70,P023,11.0,facial_first,4.0,7,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,1.0,3.0,2.0,right,SPADE-3.png,2.0,I think I'm going to win this round.,Z,M,M,Z,0.0,316.3999999994412,False,1.0,0.0,0.0,0.0,1.0,7,3,1,0,0
75,P023,11.0,facial_first,4.0,8,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,7.0,5.0,2.0,left,SPADE-7.png,2.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,681.8999999992666,False,1.0,1.0,1.0,1.0,1.0,8,2,1,1,1
80,P023,11.0,facial_first,4.0,9,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,5.0,9.0,4.0,right,DIAMOND-9.png,4.0,I think I'm going to win this round.,Z,M,M,M,1.0,184.39999999961583,False,0.0,1.0,1.0,1.0,0.0,9,1,1,0,0
85,P023,11.0,facial_first,4.0,10,calibration,,,B,happy_vs_neutral,0.8,0.8,0.0,1.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,1.0,3.0,2.0,right,HEART-3.png,2.0,I think I'm going to win this round.,Z,M,M,M,1.0,543.7999999994354,False,0.0,0.0,1.0,1.0,0.0,10,2,1,1,0
90,P023,11.0,facial_first,4.0,11,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,9.0,8.0,1.0,left,HEART-9.png,1.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,757.0999999992491,False,1.0,1.0,1.0,1.0,1.0,11,3,1,1,1
95,P023,11.0,facial_first,4.0,12,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,9.0,7.0,2.0,left,DIAMOND-9.png,2.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,635.3999999994412,False,1.0,1.0,1.0,1.0,1.0,12,1,1,1,1
100,P023,11.0,facial_first,4.0,13,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,3.0,8.0,5.0,right,CLUB-8.png,5.0,I think I'm going to win this round.,Z,M,M,M,1.0,274.6000000000058,False,0.0,1.0,1.0,1.0,0.0,13,3,1,0,0
