event_index,participant_id,experiment_version,condition,seed,trial_number,phase,phase_number,block,equivalence_group,face_pair_type,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_valid,verbal_cue_valid,facial_cue_direction,verbal_cue_direction,cue_conflict,facial_block,verbal_block,facial_block_state,verbal_block_state,face_left,face_right,face_left_expr,face_right_expr,card_left_points,card_right_points,point_difference,correct_side,winning_card,reward_points,verbal_text,key_left,key_right,correct_key,response_key,correct,rt_raw,is_timeout,chose_left,followed_facial,followed_verbal,chose_high_reward,response_for_model,trial_order,eg_numeric,phase_numeric,facial_direction_left,verbal_direction_left
40,P014,11.0,verbal_first,2.0,1,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,0.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,3.0,2.0,1.0,left,HEART-3.png,1.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,86.80000004768954,False,1.0,1.0,0.0,1.0,1.0,1,2,1,1,0
45,P014,11.0,verbal_first,2.0,2,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,7.0,3.0,4.0,left,CLUB-7.png,4.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,2463.2000000476837,False,1.0,1.0,1.0,1.0,1.0,2,3,1,1,1
50,P014,11.0,verbal_first,2.0,3,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,2.0,6.0,4.0,right,CLUB-6.png,4.0,I think I'm going to win this round.,Z,M,M,M,1.0,822.7999999523163,False,0.0,1.0,1.0,1.0,0.0,3,1,1,0,0
55,P014,11.0,verbal_first,2.0,4,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,3.0,8.0,5.0,right,SPADE-8.png,5.0,I think I'm going to win this round.,Z,M,M,M,1.0,687.5,False,0.0,1.0,1.0,1.0,0.0,4,2,1,0,0
60,P014,11.0,verbal_first,2.0,5,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,9.0,2.0,7.0,left,SPADE-9.png,7.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,583.0000000476721,False,1.0,1.0,1.0,1.0,1.0,5,1,1,1,1
65,P014,11.0,verbal_first,2.0,6,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,9.0,7.0,2.0,left,SPADE-9.png,2.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,1064.9000000238302,False,1.0,1.0,1.0,1.0,1.0,6,3,1,1,1
70,P014,11.0,verbal_first,2.0,7,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,0.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,5.0,1.0,4.0,left,SPADE-5.png,4.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,476.3999999999942,False,1.0,1.0,0.0,1.0,1.0,7,1,1,1,0
75,P014,11.0,verbal_first,2.0,8,calibration,,,B,happy_vs_neutral,0.8,0.8,0.0,0.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,3.0,10.0,7.0,right,CLUB-10.png,7.0,I think I'm going to win this round.,Z,M,M,Z,0.0,123.99999997616396,False,1.0,1.0,1.0,0.0,1.0,8,2,1,1,1
80,P014,11.0,verbal_first,2.0,9,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,4.0,6.0,2.0,right,CLUB-6.png,2.0,I think I'm going to win this round.,Z,M,M,M,1.0,1560.6999999761465,False,0.0,1.0,1.0,1.0,0.0,9,3,1,0,0
85,P014,11.0,verbal_first,2.0,10,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,1.0,6.0,5.0,right,HEART-6.png,5.0,I think I'm going to win this round.,Z,M,M,M,1.0,395.30000004768954,False,0.0,1.0,1.0,1.0,0.0,10,1,1,0,0
