event_index,participant_id,experiment_version,condition,seed,trial_number,phase,phase_number,block,equivalence_group,face_pair_type,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_valid,verbal_cue_valid,facial_cue_direction,verbal_cue_direction,cue_conflict,facial_block,verbal_block,facial_block_state,verbal_block_state,face_left,face_right,face_left_expr,face_right_expr,card_left_points,card_right_points,point_difference,correct_side,winning_card,reward_points,verbal_text,key_left,key_right,correct_key,response_key,correct,rt_raw,is_timeout,chose_left,followed_facial,followed_verbal,chose_high_reward,response_for_model,trial_order,eg_numeric,phase_numeric,facial_direction_left,verbal_direction_left
40,P041,11.0,verbal_first,4.0,1,calibration,,,B,happy_vs_neutral,0.8,0.8,0.0,0.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,4.0,3.0,1.0,left,SPADE-4.png,1.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,1706.999999999258,False,1.0,0.0,0.0,1.0,1.0,1,2,1,0,0
45,P041,11.0,verbal_first,4.0,2,calibration,,,A,happy_vs_sad,0.7,0.8,0.0,1.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,4.0,9.0,5.0,right,SPADE-9.png,5.0,I think I'm going to win this round.,Z,M,M,Z,0.0,825.600000000748,False,1.0,1.0,0.0,0.0,1.0,2,1,1,1,0
50,P041,11.0,verbal_first,4.0,3,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,3.0,9.0,6.0,right,HEART-9.png,6.0,I think I'm going to win this round.,Z,M,M,M,1.0,1211.800000000003,False,0.0,1.0,1.0,1.0,0.0,3,3,1,0,0
55,P041,11.0,verbal_first,4.0,4,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,10.0,9.0,1.0,left,HEART-10.png,1.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,996.10000000149,False,1.0,1.0,1.0,1.0,1.0,4,1,1,1,1
60,P041,11.0,verbal_first,4.0,5,calibration,,,C,neutral_vs_sad,0.9,0.8,0.0,1.0,left,right,1.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,4.0,10.0,6.0,right,SPADE-10.png,6.0,I think I'm going to win this round.,Z,M,M,M,1.0,1334.6999999985128,False,0.0,0.0,1.0,1.0,0.0,5,3,1,1,0
65,P041,11.0,verbal_first,4.0,6,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,0.0,right,left,1.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,3.0,8.0,5.0,right,CLUB-8.png,5.0,I think I'm going to win this round.,Z,M,M,Z,0.0,1117.5,False,1.0,0.0,1.0,0.0,1.0,6,2,1,0,1
70,P041,11.0,verbal_first,4.0,7,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,9.0,2.0,7.0,left,HEART-9.png,7.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,891.0999999992491,False,1.0,1.0,1.0,1.0,1.0,7,1,1,1,1
75,P041,11.0,verbal_first,4.0,8,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,2.0,9.0,7.0,right,CLUB-9.png,7.0,I think I'm going to win this round.,Z,M,M,M,1.0,1133.4000000007509,False,0.0,1.0,1.0,1.0,0.0,8,2,1,0,0
80,P041,11.0,verbal_first,4.0,9,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,0.0,left,right,1.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,6.0,5.0,1.0,left,DIAMOND-6.png,1.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,946.7999999992608,False,1.0,1.0,0.0,1.0,1.0,9,3,1,1,0
85,P041,11.0,verbal_first,4.0,10,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,4.0,8.0,4.0,right,HEART-8.png,4.0,I think I'm going to win this round.,Z,M,M,M,1.0,2225.2999999992608,False,0.0,1.0,1.0,1.0,0.0,10,3,1,0,0
90,P041,11.0,verbal_first,4.0,11,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,0.0,right,left,1.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,2.0,7.0,5.0,right,SPADE-7.png,5.0,I think I'm going to win this round.,Z,M,M,M,1.0,850.8000000007451,False,0.0,1.0,0.0,1.0,0.0,11,1,1,0,1
95,P041,11.0,verbal_first,4.0,12,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,5.0,2.0,3.0,left,HEART-5.png,3.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,329.4000000014785,False,1.0,1.0,1.0,1.0,1.0,12,2,1,1,1
100,P041,11.0,verbal_first,4.0,13,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,8.0,3.0,5.0,left,SPADE-8.png,5.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,366.6000000007334,False,1.0,1.0,1.0,1.0,1.0,13,3,1,1,1
105,P041,11.0,verbal_first,4.0,14,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,3.0,9.0,6.0,right,CLUB-9.png,6.0,I think I'm going to win this round.,Z,M,M,M,1.0,307.80000000150176,False,0.0,1.0,1.0,1.0,0.0,14,2,1,0,0
110,P041,11.0,verbal_first,4.0,15,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,1.0,9.0,8.0,right,HEART-9.png,8.0,I think I'm going to win this round.,Z,M,M,M,1.0,229.40000000002328,False,0.0,1.0,1.0,1.0,0.0,15,1,1,0,0
115,P041,11.0,verbal_first,4.0,16,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,0.0,right,left,1.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,9.0,10.0,1.0,right,SPADE-10.png,1.0,I think I'm going to win this round.,Z,M,M,M,1.0,1661.0,False,0.0,1.0,0.0,1.0,0.0,16,1,1,0,1
120,P041,11.0,verbal_first,4.0,17,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,8.0,10.0,2.0,right,CLUB-10.png,2.0,I think I'm going to win this round.,Z,M,M,M,1.0,471.2000000000117,False,0.0,1.0,1.0,1.0,0.0,17,3,1,0,0
125,P041,11.0,verbal_first,4.0,18,calibration,,,B,happy_vs_neutral,0.8,0.8,0.0,0.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,3.0,6.0,3.0,right,SPADE-6.png,3.0,I think I'm going to win this round.,Z,M,M,Z,0.0,373.19999999849824,False,1.0,1.0,1.0,0.0,1.0,18,2,1,1,1
130,P041,11.0,verbal_first,4.0,19,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,0.0,right,left,1.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,1.0,9.0,8.0,right,SPADE-9.png,8.0,I think I'm going to win this round.,Z,M,M,M,1.0,64.70000000149594,False,0.0,1.0,0.0,1.0,0.0,19,3,1,0,1
135,P041,11.0,verbal_first,4.0,20,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,5.0,10.0,5.0,right,CLUB-10.png,5.0,I think I'm going to win this round.,Z,M,M,M,1.0,209.9999999992433,False,0.0,1.0,1.0,1.0,0.0,20,1,1,0,0
