trial_order,trial_number,phase,phase_numeric,equivalence_group,eg_numeric,facial_cue_valid,verbal_cue_valid,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_direction,verbal_cue_direction,facial_direction_left,verbal_direction_left,card_left_points,card_right_points,point_difference,correct_side,response_key,chose_left,rt_raw,followed_facial,followed_verbal,chose_high_reward,is_timeout,response_for_model
1,1,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,9.0,6.0,3.0,left,M,0.0,251.0,0.0,0.0,0.0,False,0.0
2,2,calibration,1,A,1,1.0,0.0,0.7,0.8,left,right,1,0,4.0,2.0,2.0,left,Z,1.0,197.40000019074068,1.0,0.0,1.0,False,1.0
3,3,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,4.0,9.0,5.0,right,M,0.0,648.2000003814755,1.0,1.0,1.0,False,0.0
4,4,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,2.0,6.0,4.0,right,M,0.0,544.0,1.0,1.0,1.0,False,0.0
5,5,calibration,1,B,2,1.0,0.0,0.8,0.8,left,right,1,0,10.0,4.0,6.0,left,Z,1.0,140.7000002861023,1.0,0.0,1.0,False,1.0
6,6,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,9.0,8.0,1.0,left,M,0.0,104.50000009537324,0.0,0.0,0.0,False,0.0
7,7,calibration,1,A,1,0.0,1.0,0.7,0.8,left,right,1,0,6.0,9.0,3.0,right,Z,1.0,532.7999999999884,1.0,0.0,0.0,False,1.0
8,8,calibration,1,B,2,1.0,0.0,0.8,0.8,left,right,1,0,9.0,3.0,6.0,left,Z,1.0,51.20000019072904,1.0,0.0,1.0,False,1.0
9,9,calibration,1,C,3,1.0,0.0,0.9,0.8,right,left,0,1,1.0,9.0,8.0,right,Z,1.0,247.00000009537325,0.0,1.0,0.0,False,1.0
10,10,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,9.0,8.0,1.0,left,Z,1.0,47.0,1.0,1.0,1.0,False,1.0
11,11,calibration,1,A,1,0.0,1.0,0.7,0.8,left,right,1,0,7.0,10.0,3.0,right,Z,1.0,128.10000028609647,1.0,0.0,0.0,False,1.0
